Unnamed: 0,year,state,month,number,month_num,month_alias,date,regiao
0,1998,Acre,Janeiro,0.0,1,jan,1998-01-01,Norte
1,1999,Acre,Janeiro,0.0,1,jan,1999-01-01,Norte
2,2000,Acre,Janeiro,0.0,1,jan,2000-01-01,Norte
3,2001,Acre,Janeiro,0.0,1,jan,2001-01-01,Norte
4,2002,Acre,Janeiro,0.0,1,jan,2002-01-01,Norte
5,2003,Acre,Janeiro,10.0,1,jan,2003-01-01,Norte
6,2004,Acre,Janeiro,0.0,1,jan,2004-01-01,Norte
7,2005,Acre,Janeiro,12.0,1,jan,2005-01-01,Norte
8,2006,Acre,Janeiro,4.0,1,jan,2006-01-01,Norte
9,2007,Acre,Janeiro,0.0,1,jan,2007-01-01,Norte
10,2008,Acre,Janeiro,0.0,1,jan,2008-01-01,Norte
11,2009,Acre,Janeiro,0.0,1,jan,2009-01-01,Norte
12,2010,Acre,Janeiro,1.0,1,jan,2010-01-01,Norte
13,2011,Acre,Janeiro,0.0,1,jan,2011-01-01,Norte
14,2012,Acre,Janeiro,0.0,1,jan,2012-01-01,Norte
15,2013,Acre,Janeiro,0.0,1,jan,2013-01-01,Norte
16,2014,Acre,Janeiro,0.0,1,jan,2014-01-01,Norte
17,2015,Acre,Janeiro,1.0,1,jan,2015-01-01,Norte
18,2016,Acre,Janeiro,12.0,1,jan,2016-01-01,Norte
19,2017,Acre,Janeiro,0.0,1,jan,2017-01-01,Norte
20,1998,Acre,Fevereiro,0.0,2,fev,1998-02-01,Norte
21,1999,Acre,Fevereiro,0.0,2,fev,1999-02-01,Norte
22,2000,Acre,Fevereiro,0.0,2,fev,2000-02-01,Norte
23,2001,Acre,Fevereiro,0.0,2,fev,2001-02-01,Norte
24,2002,Acre,Fevereiro,1.0,2,fev,2002-02-01,Norte
25,2003,Acre,Fevereiro,0.0,2,fev,2003-02-01,Norte
26,2004,Acre,Fevereiro,3.0,2,fev,2004-02-01,Norte
27,2005,Acre,Fevereiro,0.0,2,fev,2005-02-01,Norte
28,2006,Acre,Fevereiro,0.0,2,fev,2006-02-01,Norte
29,2007,Acre,Fevereiro,5.0,2,fev,2007-02-01,Norte
30,2008,Acre,Fevereiro,0.0,2,fev,2008-02-01,Norte
31,2009,Acre,Fevereiro,2.0,2,fev,2009-02-01,Norte
32,2010,Acre,Fevereiro,0.0,2,fev,2010-02-01,Norte
