year,month,actual,predicted
2013,12,3808.206,4665.033929161087
2014,1,2633.0,1923.301259316533
2014,2,1547.0,2178.0200084906537
2014,3,2224.0,2432.7387576647743
2014,4,2358.0,2687.457506838895
2014,5,3189.0,2942.1762560130155
2014,6,3319.167,3196.895005187136
2014,7,3903.904,3451.6137543612567
2014,8,2738.319,3706.3325035353773
2014,9,3131.074,3961.051252709498
2014,10,5512.8369999999995,4215.7700018836185
2014,11,5347.654,4470.488751057739
2014,12,3717.228,4725.20750023186
2015,1,4635.0,1983.4748303873057
2015,2,2309.0,2238.1935795614118
2015,3,2202.0,2492.9123287355324
2015,4,2573.0,2747.631077909653
2015,5,2384.0,3002.3498270837736
2015,6,3260.552,3257.068576257894
2015,7,4364.392,3511.7873254320148
2015,8,4363.125,3766.5060746061354
2015,9,2494.658,4021.224823780256
2015,10,4499.525,4275.943572954377
2015,11,4034.518,4530.662322128497
2015,12,4088.522,4785.381071302618
2016,1,2906.076,2043.6484014580637
2016,2,3098.05,2298.3671506321843
2016,3,1632.166,2553.085899806305
2016,4,2203.77,2807.8046489804256
2016,5,2488.081,3062.523398154546
2016,6,3776.565,3317.242147328652
2016,7,7105.048,3571.960896502773
2016,8,3137.215,3826.6796456768934
2016,9,3081.02,4081.398394851014
2016,10,4350.885,4336.117144025135
2016,11,4692.476000000001,4590.835893199255
2016,12,3740.877,4845.554642373376
2017,1,2408.0,2103.821972528822
2017,2,1400.0,2358.5407217029424
2017,3,2017.0,2613.259470877063
2017,4,1559.0,2867.9782200511836
2017,5,2506.0,3122.696969225304
2017,6,4148.361,3377.415718399425
2017,7,5929.998,3632.1344675735454
2017,8,4120.41,3886.853216747666
2017,9,2779.317,4141.571965921787
2017,10,3600.159,4396.290715095907
2017,11,6217.379,4651.009464270013
